,municipio,delito,trend
0,Tlajomulco de Zúñiga,"Robo_Robo de maquinaria_Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",19.0
1,San Pedro Tlaquepaque,Robo_Robo a transeúnte en espacio abierto al público_Con violencia,10.333333333333334
2,Zapopan,Robo_Robo en transporte individual_Sin violencia,9.0
3,Juanacatlán,Narcomenudeo_Narcomenudeo_Narcomenudeo,8.0
4,Juanacatlán,Narcomenudeo,7.472678555172788
5,Juanacatlán,Narcomenudeo_Narcomenudeo,7.472678555172788
6,San Pedro Tlaquepaque,Robo_Robo en transporte individual,7.252530490741481
7,San Pedro Tlaquepaque,Robo_Robo en transporte individual_Con violencia,6.833333333333333
8,Zapotlanejo,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,6.130385925403282
9,Zapotlanejo,Otros delitos que atentan contra la libertad y la seguridad sexual,6.130385925403282
10,El Salto,Robo_Robo en transporte público individual_Con violencia,6.0
11,Guadalajara,Secuestro_Secuestro_Secuestro extorsivo,6.0
12,Zapotlanejo,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,6.0
13,Guadalajara,Secuestro_Secuestro,5.998060939193245
14,Guadalajara,Secuestro,5.998060939193245
15,Guadalajara,Robo_Robo en transporte individual_Con violencia,5.375
16,Tlajomulco de Zúñiga,Robo_Robo en transporte individual_Con violencia,5.333333333333333
17,Guadalajara,Robo_Robo en transporte individual,5.155800030842433
18,Guadalajara,Feminicidio_Feminicidio_Con otro elemento,5.0
19,Tlajomulco de Zúñiga,Robo_Robo en transporte público colectivo_Sin violencia,4.5
20,Tlajomulco de Zúñiga,Robo_Robo en transporte individual,4.135891283838964
21,Guadalajara,Robo_Robo a transeúnte en espacio abierto al público_Con violencia,4.115384615384615
22,Guadalajara,Robo_Robo en transporte individual_Sin violencia,4.0
23,El Salto,Homicidio_Homicidio doloso_Con arma blanca,4.0
24,Ixtlahuacán de los Membrillos,Homicidio_Homicidio doloso_Con otro elemento,4.0
25,Tlajomulco de Zúñiga,Robo_Robo a transeúnte en espacio abierto al público_Sin violencia,3.833333333333333
26,Guadalajara,"Robo_Robo de maquinaria_Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",3.7608695652173916
27,El Salto,Robo_Robo en transporte público individual,3.7516587904010015
28,Guadalajara,Robo_Robo de maquinaria,3.469214349701038
29,Tonalá,"Robo_Robo de maquinaria_Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",3.4000000000000004
30,San Pedro Tlaquepaque,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,3.3076923076923075
31,San Pedro Tlaquepaque,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,3.2584223453358634
32,San Pedro Tlaquepaque,Otros delitos que atentan contra la libertad y la seguridad sexual,3.2584223453358634
33,Guadalajara,Robo_Robo de maquinaria_Robo de herramienta industrial o agrícola Con violencia,3.0
34,Zapotlanejo,Lesiones_Lesiones dolosas_Con arma de fuego,3.0
35,Juanacatlán,Homicidio_Homicidio doloso_Con otro elemento,3.0
36,Tonalá,Robo_Robo de maquinaria,2.9785240850845884
37,Zapopan,Robo_Robo en transporte individual,2.8151467958709806
38,Tonalá,Robo_Robo en transporte individual_Con violencia,2.5
39,Zapopan,Robo_Robo en transporte individual_Con violencia,2.4285714285714284
40,Guadalajara,Robo_Robo a transeúnte en espacio abierto al público,2.402018677107103
41,Tlajomulco de Zúñiga,Robo_Robo en transporte público individual_Con violencia,2.4
42,Zapopan,Robo_Robo a transeúnte en espacio abierto al público_Con violencia,2.3076923076923075
43,Juanacatlán,Lesiones_Lesiones culposas,2.2849960805226828
44,Tlajomulco de Zúñiga,Robo_Robo a transeúnte en espacio abierto al público,2.190740747095824
45,Tonalá,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,2.1714285714285713
46,El Salto,Lesiones_Lesiones dolosas_Con arma de fuego,2.1538461538461537
47,Tonalá,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,2.148690359381999
48,Tonalá,Otros delitos que atentan contra la libertad y la seguridad sexual,2.148690359381999
49,Guadalajara,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,2.0935672514619883
50,Guadalajara,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,2.092938081307913
51,Guadalajara,Otros delitos que atentan contra la libertad y la seguridad sexual,2.092938081307913
52,San Pedro Tlaquepaque,Robo_Robo a transeúnte en espacio abierto al público,2.0770378880623204
53,Zapopan,Robo_Robo a transeúnte en espacio abierto al público,2.036906955146372
54,Zapopan,Robo_Robo a transeúnte en espacio abierto al público_Sin violencia,2.025
55,Ixtlahuacán de los Membrillos,Acoso sexual_Acoso sexual_Acoso sexual,2.0
56,Acatlán de Juárez,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,2.0
57,Juanacatlán,Lesiones_Lesiones culposas_En accidente de tránsito,2.0
58,Guadalajara,Homicidio_Homicidio culposo_Con otro elemento,2.0
59,Acatlán de Juárez,Acoso sexual_Acoso sexual_Acoso sexual,2.0
60,El Salto,Robo_Robo en transporte público individual_Sin violencia,2.0
61,Tonalá,Robo_Robo a institución bancaria_Con violencia,2.0
